"REF_DATE","GEO","DGUID","Age (15C)","Gender (3)","Statistics (2)","Religion (25)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","15 years and over","Women+","2021 Counts","Sikh","","0","units","0","","1.3.3.1.22","315605","","","","0"
"2021","Canada","2021A000011124","15 years and over","Women+","2021 Counts","Traditional (North American Indigenous) spirituality","","0","units","0","","1.3.3.1.23","30695","","","","0"
"2021","Canada","2021A000011124","15 years and over","Women+","2021 Counts","Other religions and spiritual traditions","","0","units","0","","1.3.3.1.24","118915","","","","0"
"2021","Canada","2021A000011124","15 years and over","Women+","2021 Counts","No religion and secular perspectives","","0","units","0","","1.3.3.1.25","4727475","","","","0"
"2021","Canada","2021A000011124","15 years and over","Women+","% distribution (2021)","Total - Religion","","0","units","0","","1.3.3.2.1","42.6","","","","1"
"2021","Canada","2021A000011124","15 years and over","Women+","% distribution (2021)","Buddhist","","0","units","0","","1.3.3.2.2","0.5","","","","1"
"2021","Canada","2021A000011124","15 years and over","Women+","% distribution (2021)","Christian","","0","units","0","","1.3.3.2.3","24.7","","","","1"
"2021","Canada","2021A000011124","15 years and over","Women+","% distribution (2021)","Hindu","","0","units","0","","1.3.3.2.19","0.9","","","","1"
"2021","Canada","2021A000011124","15 years and over","Women+","% distribution (2021)","Jewish","","0","units","0","","1.3.3.2.20","0.4","","","","1"
"2021","Canada","2021A000011124","15 years and over","Women+","% distribution (2021)","Muslim","","0","units","0","","1.3.3.2.21","1.8","","","","1"
"2021","Canada","2021A000011124","15 years and over","Women+","% distribution (2021)","Sikh","","0","units","0","","1.3.3.2.22","0.9","","","","1"
"2021","Canada","2021A000011124","15 years and over","Women+","% distribution (2021)","Traditional (North American Indigenous) spirituality","","0","units","0","","1.3.3.2.23","0.1","","","","1"
"2021","Canada","2021A000011124","15 years and over","Women+","% distribution (2021)","Other religions and spiritual traditions","","0","units","0","","1.3.3.2.24","0.3","","","","1"
"2021","Canada","2021A000011124","15 years and over","Women+","% distribution (2021)","No religion and secular perspectives","","0","units","0","","1.3.3.2.25","13.0","","","","1"
"2021","Canada","2021A000011124","15 to 24 years","Total - Gender","2021 Counts","Total - Religion","","0","units","0","","1.4.1.1.1","4181060","","","","0"
"2021","Canada","2021A000011124","15 to 24 years","Total - Gender","2021 Counts","Buddhist","","0","units","0","","1.4.1.1.2","34000","","","","0"
"2021","Canada","2021A000011124","15 to 24 years","Total - Gender","2021 Counts","Christian","","0","units","0","","1.4.1.1.3","1923945","","","","0"
"2021","Canada","2021A000011124","15 to 24 years","Total - Gender","2021 Counts","Hindu","","0","units","0","","1.4.1.1.19","118350","","","","0"
"2021","Canada","2021A000011124","15 to 24 years","Total - Gender","2021 Counts","Jewish","","0","units","0","","1.4.1.1.20","37325","","","","0"
